,created_at,source,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,hashtags,user_mentions,place
3144,2021-06-18 23:19:55+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,0.0,en,,,LifeOfYara,1318,4011,[],"[{'screen_name': 'TelGlobalHealth', 'name': 'Telegraph Global Health Security', 'id': 1149218984346230784, 'id_str': '1149218984346230784', 'indices': [3, 19]}, {'screen_name': 'WHOAFRO', 'name': 'WHO African Region', 'id': 544389588, 'id_str': '544389588', 'indices': [102, 110]}]",Sunny AZ
3145,2021-06-18 23:20:06+00:00,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0.22727272727272727,0.5454545454545454,en,,,annemac33,1788,1851,"[{'text': 'Covid19', 'indices': [81, 89]}]","[{'screen_name': 'ProfPMiddleton', 'name': 'Paul Middleton', 'id': 1173104323, 'id_str': '1173104323', 'indices': [3, 18]}, {'screen_name': 'NicolaSturgeon', 'name': 'Nicola Sturgeon', 'id': 160952087, 'id_str': '160952087', 'indices': [21, 36]}]", Scotland
3146,2021-06-18 23:20:58+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.2,0.1,en,,,SarahMya2000,169,5003,"[{'text': 'India', 'indices': [19, 25]}]","[{'screen_name': 'AlArabiya_Eng', 'name': 'Al Arabiya English', 'id': 22240612, 'id_str': '22240612', 'indices': [3, 17]}]",
3147,2021-06-18 23:20:58+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,0.0,en,,,KevOC1916,1257,1681,"[{'text': 'COVID19', 'indices': [91, 99]}, {'text': 'Israel', 'indices': [114, 121]}]","[{'screen_name': 'AlArabiya_Eng', 'name': 'Al Arabiya English', 'id': 22240612, 'id_str': '22240612', 'indices': [3, 17]}]",
3148,2021-06-18 23:21:16+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.35,0.55,en,,,inkstreamer1,0,3,[],"[{'screen_name': 'AIPAC', 'name': 'AIPAC', 'id': 15987296, 'id_str': '15987296', 'indices': [3, 9]}]",
3149,2021-06-18 23:21:25+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.03409090909090909,0.48863636363636365,en,,,LynnMacEwan,85,336,[],"[{'screen_name': 'Milhouse_Van_Ho', 'name': 'Milhouse Van Houten 🗽🇨🇦', 'id': 1246065743294332928, 'id_str': '1246065743294332928', 'indices': [3, 19]}]","Ottawa, Ontario"
3150,2021-06-18 23:22:02+00:00,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Vaccine finder</a>",-0.75,1.0,en,,,PuneUpdater,88,0,[],[],
3151,2021-06-18 23:22:02+00:00,"<a href=""https://help.twitter.com/en/using-twitter/how-to-tweet#source-labels"" rel=""nofollow"">Vaccine finder</a>",-0.75,1.0,en,,,PuneUpdater,88,0,[],[],
3152,2021-06-18 23:22:34+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",-0.08333333333333333,0.7166666666666667,en,,,cominghome_m,60,136,[],[],"Michigan, USA"
3153,2021-06-18 23:22:44+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,0.5,en,,,ProlongingCovid,1152,494,[],"[{'screen_name': 'stevelanebitch', 'name': 'FFAC 🇨🇦', 'id': 2296655965, 'id_str': '2296655965', 'indices': [3, 18]}, {'screen_name': 'fordnation', 'name': 'Doug Ford', 'id': 2809959174, 'id_str': '2809959174', 'indices': [83, 94]}]",On Gab at ChloroquineGuerilla2
3154,2021-06-18 23:22:49+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,0.0,en,,,IronSocialist,629,4996,"[{'text': 'DeltaVariant', 'indices': [103, 116]}]","[{'screen_name': 'DrEricDing', 'name': 'Eric Feigl-Ding', 'id': 18831926, 'id_str': '18831926', 'indices': [3, 14]}]","San Fransisco, California"
3155,2021-06-18 23:23:12+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.0,0.0,en,,,sum1star,6128,5943,[],"[{'screen_name': 'CDCgov', 'name': 'CDC', 'id': 146569971, 'id_str': '146569971', 'indices': [20, 27]}]",Hells Canyon 
3156,2021-06-18 23:23:13+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.0,0.0,en,,,kjm01sh522,1334,2186,[],"[{'screen_name': 'shawajason', 'name': 'J. Shawa  جاسم الشوا', 'id': 431029718, 'id_str': '431029718', 'indices': [3, 14]}]",Malaysia
3157,2021-06-18 23:23:45+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.0,0.0,en,,,mutalabala,8945,9318,[],"[{'screen_name': 'shawajason', 'name': 'J. Shawa  جاسم الشوا', 'id': 431029718, 'id_str': '431029718', 'indices': [3, 14]}]",Canada
3158,2021-06-18 23:23:49+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.6,0.9,en,,,Hena201,195,187,"[{'text': 'GazaStrip', 'indices': [95, 105]}]",[],"east coast, USA"
3159,2021-06-18 23:23:54+00:00,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",0.0,0.0,en,,,anapaul57464044,77,183,"[{'text': 'COVID19', 'indices': [70, 78]}, {'text': 'Indonesia', 'indices': [82, 92]}, {'text': 'Sinovac', 'indices': [123, 131]}]","[{'screen_name': 'EpochTimesChina', 'name': 'The Epoch Times - China Insider', 'id': 302152200, 'id_str': '302152200', 'indices': [3, 19]}]","São Paulo, Brasil"
3160,2021-06-18 23:23:57+00:00,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",0.2,0.5,en,,,DKfins,59,236,"[{'text': 'NaftaliBennett', 'indices': [35, 50]}, {'text': 'BenjaminNetanyahu', 'indices': [69, 87]}, {'text': 'COVID19', 'indices': [126, 134]}]","[{'screen_name': 'Jerusalem_Post', 'name': 'The Jerusalem Post', 'id': 19489239, 'id_str': '19489239', 'indices': [3, 18]}]",
3161,2021-06-18 23:24:02+00:00,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",0.6,0.8,en,,,MunaAmina,1670,604,"[{'text': 'PfizerBiontech', 'indices': [29, 44]}, {'text': 'Oxford', 'indices': [107, 114]}]",[],
3162,2021-06-18 23:24:27+00:00,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",0.41666666666666663,0.6666666666666666,en,,,waldron_pj,1757,3933,[],"[{'screen_name': 'GebauerKen', 'name': 'KMG6990', 'id': 1285443742107746305, 'id_str': '1285443742107746305', 'indices': [3, 14]}, {'screen_name': 'robinmonotti2', 'name': 'Robin Monotti 🌸', 'id': 20106357, 'id_str': '20106357', 'indices': [16, 30]}, {'screen_name': 'RiseOfTheProles', 'name': 'Rise up Canadians!', 'id': 809764232111783936, 'id_str': '809764232111783936', 'indices': [31, 47]}]",
